Variable Recovery Rates,,,,,,,,,,,,,,,,,,1 Year Forward Valuation,,,,,,,,,,,,Initial Portfolio Value ($mn),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seniority,Mean (%),Std.Dev (%),,,,,,,,,,,,,,,Nelson - Siegel Parameters,,,,,,,,,,,,BYD,3.980868688,
,Senior Unsecured,37.9,10.10,,,,,,,,,,,,,,,Rating,a0,a1,a2,a3,,,,,,,,EAT,5.125176049,
,,,,,,,,,,,,,,,,,,Treasury,4.9512,-0.7317,-1.0352,0.0401849,,,,,,,,AAL,6.1169182,
,Standard Deviation Source:  Moody's (2023) Annual Defaulted ,,,,,,,,,,,,,,,,,Aaa,4.189692,0.000671,3.775168,0.060791,,,,,,,,Total,15.222963,
,Corporate Bond and Loan Recoveries. ,,,,,,,,,,,,,,,,,Aa ,4.533232,0.000671,3.775168,0.065388,,,,,,,,,,
,Sample period 1983-2022.,,,,,,,,,,,,,,,,,A,4.796885,0.000671,4.089823,0.043807,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Baa,5.008378,0,3.212926,0.07799,,,,,,,,,,
,Note: only standard deviation data that could be found ,,,,,,,,,,,,,,,,,Ba ,5.832408,0,5.005847,0.052618,,,,,,,,,,
,"was 2023 TTC, therefore 2025 TTC used for comparison",,,,,,,,,,,,,,,,,B,4.463504,3.083654,1.067892,0.006161,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Caa-C,10.38867,114.4327,0,11.83551,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mu,0.379,=C4/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Variance,0.0102,=(D4/100)^2,,,,,,,,,,,,,,,1 Year Spot Curves by Rating Category,,,,,,,,,,,,,,
,a,8.3653,=C14*(C14*(1-C14)/C15-1),,,,,,,,,,,,,,,Rating,Years,,,,,,,,,,,,,
,b,13.7068,=(1-C14)*(C14*(1-C14)/C15-1),,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Treasury,4.21%,4.21%,4.20%,4.20%,4.20%,,,,,,,,,
,,"=BETADIST(B22,$C$16,$C$17)",=(C22-C21)/(B22-B21),,,,,,,,,,,,,,,Aaa,4.30%,4.40%,4.50%,4.58%,4.66%,,,,,,,,,
,,Cum.Dist,Density,,,,,,,,,,,,,,,Aa ,4.65%,4.76%,4.86%,4.95%,5.03%,,,,,,,,,
,0,0,0,,,,,,,,,,,,,,,A,4.88%,4.97%,5.04%,5.12%,5.19%,,,,,,,,,
,0.05,1.80678E-06,3.61357E-05,,,,,,,,,,,,,,,Baa,5.13%,5.23%,5.33%,5.42%,5.49%,,,,,,,,,
,0.1,0.000326484,0.006493551,,,,,,,,,,,,,,,Ba ,5.96%,6.08%,6.19%,6.29%,6.39%,,,,,,,,,
,0.15,0.005192117,0.097312653,,,,,,,,,,,,,,,B,7.54%,7.53%,7.53%,7.52%,7.52%,,,,,,,,,
,0.2,0.030089085,0.497939364,,,,,,,,,,,,,,,Caa-C,20.06%,15.22%,13.61%,12.81%,12.32%,,,,,,,,,
,0.25,0.099216551,1.382549321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3,0.227284149,2.561351948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.35,0.4032131,3.518579031,,,,,,,,,,,,,,,1 Year Forward Curves by Rating Category,,,,,,,,,,,,,,
,0.4,0.593012383,3.795985646,,,,,,,,,,,,,,,Rating,Years (t+1),,,,,,,,,,,,,
,0.45,0.758884162,3.317435581,,,,,,,,,,,,,,,,2,3,4,5,,,,,,,,,,
,0.5,0.877987322,2.38206321,,,,,,,,,,,,,,,,"f(1,2)","f(1,3)","f(1,4)","f(1,5)",,,,,,,,,,
,0.55,0.948362621,1.40750598,,,,,,,,,,,,,,,Treasury,4.20%,4.20%,4.20%,4.19%,,,,,,,,,,
,0.6,0.98224578,0.677663188,,,,,,,,,,,,,,,Aaa,4.50%,4.59%,4.67%,4.75%,,,,,,,,,,
,0.65,0.995244966,0.259983717,,,,,,,,,,,,,,,Aa ,4.87%,4.96%,5.05%,5.13%,,,,,,,,,,
,0.7,0.999068962,0.076479913,,,,,,,,,,,,,,,A,5.05%,5.12%,5.19%,5.26%,,,,,,,,,,
,0.75,0.999879469,0.016210134,,,,,,,,,,,,,,,Baa,5.34%,5.43%,5.51%,5.59%,,,,,,,,,,
,0.8,0.999991302,0.002236671,,,,,,,,,,,,,,,Ba ,6.20%,6.30%,6.40%,6.49%,,,,,,,,,,
,0.85,0.999999747,0.000168889,,,,,,,,,,,,,,,B,7.53%,7.52%,7.52%,7.51%,,,,,,,,,,
,0.9,0.999999999,5.03857E-06,,,,,,,,,,,,,,,Caa-C,10.58%,10.52%,10.49%,10.47%,,,,,,,,,,
,0.95,1,2.87781E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Portfolio Loan Cash Flows (%),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Asset,Principle ($mn),Years,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,
,,,,,,,,,,,,,,,,,,BYD (Ba3),4,6%,6%,106%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,EAT (Ba3),5,7%,7%,7%,107%,,,,,,,,,
,,,,,,,,,,,,,,,,,,AAL (B1),6,8%,8%,8%,8%,108%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Possible 1 Year Forward Values for Each Loan ($mn),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Year End Rating,BYD,EAT,AAL,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Aaa,4.105450,5.319568,6.698778,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Aa ,4.077394,5.266557,6.612932,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,A,4.065235,5.245895,6.582203,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Baa,4.042173,5.201549,6.509991,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Ba ,3.978112,5.080615,6.313624,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,B,3.890678,4.932823,6.098192,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Caa-C,3.688288,4.569623,5.534339,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Default,1.516,1.895,2.274,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Note: Default calculated using Principle * (Mean Recovery Rate),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,In practice variable recovery distribution used,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
